id,koordinat_x_before,koordinat_y_before
3877,107.552,-6.86275
3878,107.552,-6.86324
3879,107.552,-6.86327
3880,107.552,-6.86333
3881,107.552,-6.86334
3882,107.552,-6.86342
3883,107.552,-6.86344
3884,107.552,-6.8636
3885,107.552,-6.86367
3886,107.552,-6.86368
3887,107.551,-6.86522
3888,107.551,-6.86526
3889,107.551,-6.86531
3890,107.55,-6.86578
3891,107.55,-6.86579
3892,107.55,-6.86561
3893,107.548,-6.86536
3894,107.548,-6.86551
3895,107.548,-6.86576
3896,107.548,-6.86618
3897,107.547,-6.86631
3898,107.547,-6.86654
3899,107.547,-6.86655
3900,107.547,-6.86664
3901,107.547,-6.86678
3902,107.547,-6.86687
3903,107.547,-6.86691
3904,107.546,-6.86731
3905,107.546,-6.86737
3906,107.546,-6.86812
3907,107.546,-6.86814
3908,107.545,-6.86822
3909,107.545,-6.86832
3910,107.545,-6.86837
3911,107.545,-6.86848
3912,107.55,-6.87638
3913,107.551,-6.87531
3914,107.551,-6.87526
3915,107.551,-6.87487
3916,107.553,-6.87258
3917,107.553,-6.87237
3918,107.554,-6.87256
3919,107.554,-6.87257
3920,107.556,-6.87261
3921,107.557,-6.87208
3922,107.563,-6.86354
3923,107.563,-6.86338
3924,107.563,-6.86344
3925,107.563,-6.86306
3926,107.56,-6.86818
3927,107.56,-6.86843
3928,107.559,-6.86949
3929,107.558,-6.87023
3930,107.556,-6.87257
3931,107.556,-6.87262
3932,107.556,-6.8727
3933,107.553,-6.87251
3934,107.553,-6.87254
3935,107.553,-6.87283
3936,107.553,-6.87287
3937,107.553,-6.87296
3938,107.553,-6.873
3939,107.553,-6.87312
3940,107.553,-6.87316
3941,107.553,-6.87328
3942,107.552,-6.87354
3943,107.552,-6.8736
3944,107.55,-6.87624
3945,107.551,-6.87509
3946,107.551,-6.87495
3947,107.553,-6.8723
3948,107.554,-6.8724
3949,107.554,-6.87265
3950,107.555,-6.87293
3951,107.563,-6.86434
3952,107.563,-6.86368
3953,107.563,-6.86346
3954,107.563,-6.86344
3955,107.563,-6.86341
3956,107.56,-6.86809
3957,107.558,-6.86973
3958,107.558,-6.87022
3959,107.557,-6.8718
3960,107.553,-6.87249
3961,107.553,-6.87259
3962,107.553,-6.87291
3963,107.553,-6.87296
3964,107.553,-6.87305
3965,107.553,-6.87309
3966,107.553,-6.8732
3967,107.553,-6.87325
3968,107.552,-6.87352
3969,107.527,-6.88256
3970,107.527,-6.88265
